stdio    D C:\LIBS5303Build\allegro5\src\file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\Kirk\CodeBlock Projects\Breakout\bin\Release\allegro5.cfg r
system   D C:\LIBS5303Build\allegro5\src\win\wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D C:\LIBS5303Build\allegro5\src\win\wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I C:\LIBS5303Build\allegro5\src\win\wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I C:\LIBS5303Build\allegro5\src\system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.3 (GIT)
audio-dsound I C:\LIBS5303Build\allegro5\addons\audio\dsound.cpp:249  _dsound_open                     [   0.00018] Starting DirectSound...
audio-dsound D C:\LIBS5303Build\allegro5\addons\audio\dsound.cpp:258  _dsound_open                     [   0.02358] DirectSoundCreate8 succeeded
audio    I C:\LIBS5303Build\allegro5\addons\audio\audio.c:347  do_install_audio                 [   0.02584] Using DirectSound driver
audio-dsound D C:\LIBS5303Build\allegro5\addons\audio\dsound.cpp:290  _dsound_allocate_voice           [   0.02586] Allocating voice
audio-dsound D C:\LIBS5303Build\allegro5\addons\audio\dsound.cpp:349  _dsound_allocate_voice           [   0.02587] Allocated voice
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.02588] added dtor for voice 011ECCC8, func 0043D43C
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03440] added dtor for mixer 011ECDA0, func 004FAD88
audio-dsound D C:\LIBS5303Build\allegro5\addons\audio\dsound.cpp:446  _dsound_start_voice              [   0.03481] Starting voice
audio-dsound D C:\LIBS5303Build\allegro5\addons\audio\dsound.cpp:474  _dsound_start_voice              [   0.03483] CreateSoundBuffer
audio-dsound D C:\LIBS5303Build\allegro5\addons\audio\dsound.cpp:483  _dsound_start_voice              [   0.03655] CreateSoundBuffer succeeded
audio-dsound D C:\LIBS5303Build\allegro5\addons\audio\dsound.cpp:489  _dsound_start_voice              [   0.03657] Starting _dsound_update thread
audio-dsound I C:\LIBS5303Build\allegro5\addons\audio\dsound.cpp:499  _dsound_start_voice              [   0.03663] Voice started
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03664] added dtor for sample_instance 011ED158, func 004F524B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03666] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03667] 
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03667] 
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.03668] added dtor for sample_instance 011ED468, func 004F524B
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:121  _al_rechannel_matrix             [   0.03668] sample matrix:
audio    D C:\LIBS5303Build\allegro5\addons\audio\kcm_mixer.c:127  _al_rechannel_matrix             [   0.03669] 
