stdio    D C:\LIBS5303Build\allegro5\src\file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening C:\Users\Kirk\CodeBlock Projects\Breakout\bin\Release\allegro5.cfg r
system   D C:\LIBS5303Build\allegro5\src\win\wsystem.c:771  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D C:\LIBS5303Build\allegro5\src\win\wsystem.c:682  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I C:\LIBS5303Build\allegro5\src\win\wsystem.c:685  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I C:\LIBS5303Build\allegro5\src\system.c:257  al_install_system                [   0.00000] Allegro version: 5.2.3 (GIT)
dtor     D C:\LIBS5303Build\allegro5\src\dtor.c:196  _al_register_destructor          [   0.00017] added dtor for queue 02A804F8, func 00409483
system   D C:\LIBS5303Build\allegro5\src\win\wsystem.c:771  _al_win_safe_load_library        [   0.00033] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D C:\LIBS5303Build\allegro5\src\win\wsystem.c:682  load_library_at_path             [   0.00034] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I C:\LIBS5303Build\allegro5\src\win\wsystem.c:685  load_library_at_path             [   0.00320] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I C:\LIBS5303Build\allegro5\src\win\d3d_disp.cpp:674  d3d_init_display                 [   0.01582] Render-to-texture: 1
d3d      I C:\LIBS5303Build\allegro5\src\win\d3d_disp.cpp:1769 d3d_create_display_locked        [   0.01637] faux_fullscreen=0
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_disp.cpp:1770 d3d_create_display_locked        [   0.01640] al_display=02A8D628
d3d      D C:\LIBS5303Build\allegro5\src\win\d3d_disp.cpp:1771 d3d_create_display_locked        [   0.01641] al_display->vt=02A8D570
d3d      I C:\LIBS5303Build\allegro5\src\win\d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.01919] found 64 format combinations
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.01921] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.01922] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.01922] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.01923] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.01924] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.01924] Score is : 897
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:212  debug_display_settings           [   0.01925] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D C:\LIBS5303Build\allegro5\src\display_settings.c:527  _al_score_display_settings       [   0.01925] Score is : 897
